month,brand,hour,time_segment,purchase_count,revenue,purchase_user_count
10월,apple,0,새벽 (0-6시),499,474360.44,378
10월,apple,1,새벽 (0-6시),728,646800.85,550
10월,apple,2,새벽 (0-6시),1698,1526854.15,1300
10월,apple,3,새벽 (0-6시),4042,3590529.78,2931
10월,apple,4,새벽 (0-6시),5750,5120730.26,4180
10월,apple,5,새벽 (0-6시),7069,6218998.81,5156
10월,apple,6,오전 (6-12시),7820,6916499.83,5729
10월,apple,7,오전 (6-12시),8068,7115584.03,5989
10월,apple,8,오전 (6-12시),8566,7509620.46,6234
10월,apple,9,오전 (6-12시),9131,8065012.54,6501
10월,apple,10,오전 (6-12시),8329,7362050.41,6176
10월,apple,11,오전 (6-12시),7786,6970096.05,5820
10월,apple,12,오후 (12-18시),6702,5938108.17,5059
10월,apple,13,오후 (12-18시),6202,5540486.53,4760
10월,apple,14,오후 (12-18시),5656,5059904.21,4278
10월,apple,15,오후 (12-18시),5238,4620293.48,4083
10월,apple,16,오후 (12-18시),5151,4561559.68,3904
10월,apple,17,오후 (12-18시),4709,4151180.43,3521
10월,apple,18,저녁 (18-24시),4245,3856585.75,2999
10월,apple,19,저녁 (18-24시),3167,2892610.27,2272
10월,apple,20,저녁 (18-24시),1977,1824689.26,1438
10월,apple,21,저녁 (18-24시),1371,1277744.26,994
10월,apple,22,저녁 (18-24시),850,766502.77,613
10월,apple,23,저녁 (18-24시),580,533814.64,418
10월,asus,3,새벽 (0-6시),1,141.55,1
10월,asus,8,오전 (6-12시),1,205.9,1
10월,asus,9,오전 (6-12시),2,419.14,2
10월,asus,10,오전 (6-12시),3,560.69,2
10월,asus,13,오후 (12-18시),3,749.71,3
10월,asus,16,오후 (12-18시),1,277.59,1
10월,asus,17,오후 (12-18시),1,277.59,1
10월,blackberry,3,새벽 (0-6시),1,308.63,1
10월,blackberry,4,새벽 (0-6시),1,308.63,1
10월,blackberry,7,오전 (6-12시),1,308.63,1
10월,blackberry,12,오후 (12-18시),1,354.96,1
10월,blackberry,15,오후 (12-18시),1,411.59,1
10월,blackberry,17,오후 (12-18시),3,1018.79,2
10월,bq,1,새벽 (0-6시),2,154.88,2
10월,bq,2,새벽 (0-6시),1,40.13,1
10월,bq,3,새벽 (0-6시),10,558.15,8
10월,bq,4,새벽 (0-6시),6,297.68,6
10월,bq,5,새벽 (0-6시),6,452.08,6
10월,bq,6,오전 (6-12시),6,435.83,6
10월,bq,7,오전 (6-12시),8,510.16,6
10월,bq,8,오전 (6-12시),2,132.17,2
10월,bq,9,오전 (6-12시),6,302.91,6
10월,bq,10,오전 (6-12시),6,346.23,6
10월,bq,11,오전 (6-12시),6,366.0,4
10월,bq,12,오후 (12-18시),1,39.36,1
10월,bq,13,오후 (12-18시),7,451.91,7
10월,bq,14,오후 (12-18시),8,538.54,7
10월,bq,15,오후 (12-18시),4,363.6,4
10월,bq,16,오후 (12-18시),1,92.81,1
10월,bq,17,오후 (12-18시),5,315.7,5
10월,bq,18,저녁 (18-24시),3,195.01,3
10월,bq,20,저녁 (18-24시),2,137.44,2
10월,bq,21,저녁 (18-24시),2,131.16,2
10월,doogee,1,새벽 (0-6시),1,154.19,1
10월,doogee,2,새벽 (0-6시),5,609.15,5
10월,doogee,3,새벽 (0-6시),1,154.42,1
10월,doogee,4,새벽 (0-6시),5,672.63,4
10월,doogee,5,새벽 (0-6시),1,59.18,1
10월,doogee,6,오전 (6-12시),9,949.18,9
10월,doogee,7,오전 (6-12시),7,983.67,6
10월,doogee,8,오전 (6-12시),10,1184.24,6
10월,doogee,9,오전 (6-12시),3,310.43,3
10월,doogee,10,오전 (6-12시),2,303.23,2
10월,doogee,11,오전 (6-12시),3,457.91,3
10월,doogee,12,오후 (12-18시),4,361.38,4
10월,doogee,13,오후 (12-18시),5,537.15,5
10월,doogee,14,오후 (12-18시),7,783.06,7
10월,doogee,15,오후 (12-18시),9,1238.61,8
10월,doogee,16,오후 (12-18시),2,213.37,2
10월,doogee,17,오후 (12-18시),6,673.88,5
10월,doogee,18,저녁 (18-24시),2,223.64,2
10월,doogee,19,저녁 (18-24시),5,516.56,3
10월,doogee,20,저녁 (18-24시),2,249.38,2
10월,fly,2,새벽 (0-6시),2,87.46,1
10월,fly,3,새벽 (0-6시),1,43.73,1
10월,fly,5,새벽 (0-6시),6,277.83,6
10월,fly,6,오전 (6-12시),2,87.46,2
10월,fly,7,오전 (6-12시),3,146.64,3
10월,fly,8,오전 (6-12시),2,87.46,2
10월,fly,9,오전 (6-12시),3,136.34,3
10월,fly,10,오전 (6-12시),3,131.19,3
10월,fly,11,오전 (6-12시),4,180.07,3
10월,fly,12,오후 (12-18시),5,234.1,4
10월,fly,13,오후 (12-18시),8,385.89,7
10월,fly,15,오후 (12-18시),3,136.34,3
10월,fly,16,오후 (12-18시),3,136.34,3
10월,fly,23,저녁 (18-24시),1,43.73,1
10월,gionee,2,새벽 (0-6시),1,89.84,1
10월,gionee,3,새벽 (0-6시),1,74.39,1
10월,gionee,4,새벽 (0-6시),1,74.39,1
10월,gionee,5,새벽 (0-6시),3,320.99,3
10월,gionee,7,오전 (6-12시),1,74.65,1
10월,gionee,8,오전 (6-12시),1,89.84,1
10월,gionee,9,오전 (6-12시),6,639.42,3
10월,gionee,10,오전 (6-12시),3,200.24,2
10월,gionee,11,오전 (6-12시),1,123.3,1
10월,gionee,12,오후 (12-18시),9,881.12,6
10월,gionee,14,오후 (12-18시),2,148.78,2
10월,gionee,16,오후 (12-18시),2,149.04,2
10월,gionee,17,오후 (12-18시),1,74.39,1
10월,gionee,18,저녁 (18-24시),1,123.3,1
10월,google,2,새벽 (0-6시),2,1160.88,2
10월,google,3,새벽 (0-6시),2,1184.08,2
10월,google,5,새벽 (0-6시),3,1691.11,2
10월,google,7,오전 (6-12시),2,1111.94,1
10월,google,8,오전 (6-12시),3,1714.31,2
10월,google,9,오전 (6-12시),1,579.17,1
10월,google,10,오전 (6-12시),2,1454.22,2
10월,google,12,오후 (12-18시),4,2344.96,3
10월,google,13,오후 (12-18시),2,1184.08,2
10월,google,16,오후 (12-18시),1,849.39,1
10월,google,17,오후 (12-18시),1,604.91,1
10월,google,18,저녁 (18-24시),1,604.91,1
10월,google,20,저녁 (18-24시),1,604.91,1
10월,google,21,저녁 (18-24시),1,604.91,1
10월,google,23,저녁 (18-24시),1,579.17,1
10월,haier,2,새벽 (0-6시),1,123.53,1
10월,haier,3,새벽 (0-6시),3,283.08,3
10월,haier,4,새벽 (0-6시),5,609.92,5
10월,haier,5,새벽 (0-6시),7,555.84,6
10월,haier,6,오전 (6-12시),11,900.68,10
10월,haier,7,오전 (6-12시),2,123.51,2
10월,haier,8,오전 (6-12시),5,671.7,4
10월,haier,9,오전 (6-12시),7,540.4,7
10월,haier,10,오전 (6-12시),7,517.23,7
10월,haier,11,오전 (6-12시),5,409.16,5
10월,haier,12,오후 (12-18시),8,578.99,6
10월,haier,13,오후 (12-18시),5,548.15,5
10월,haier,14,오후 (12-18시),7,517.23,6
10월,haier,15,오후 (12-18시),3,169.82,3
10월,haier,16,오후 (12-18시),4,277.91,4
10월,haier,17,오후 (12-18시),1,77.2,1
10월,haier,18,저녁 (18-24시),3,231.6,3
10월,haier,19,저녁 (18-24시),2,200.73,2
10월,haier,20,저녁 (18-24시),3,185.26,3
10월,haier,21,저녁 (18-24시),3,247.04,3
10월,honor,0,새벽 (0-6시),1,257.38,1
10월,honor,1,새벽 (0-6시),3,1158.25,3
10월,honor,2,새벽 (0-6시),10,2388.48,10
10월,honor,3,새벽 (0-6시),23,6200.73,21
10월,honor,4,새벽 (0-6시),28,7146.01,24
10월,honor,5,새벽 (0-6시),33,8710.65,31
10월,honor,6,오전 (6-12시),31,7695.2,29
10월,honor,7,오전 (6-12시),43,10968.11,33
10월,honor,8,오전 (6-12시),26,5726.3,25
10월,honor,9,오전 (6-12시),41,9540.87,32
10월,honor,10,오전 (6-12시),51,11170.79,38
10월,honor,11,오전 (6-12시),29,7401.11,26
10월,honor,12,오후 (12-18시),27,6646.48,25
10월,honor,13,오후 (12-18시),35,8244.93,34
10월,honor,14,오후 (12-18시),28,6537.6,26
10월,honor,15,오후 (12-18시),34,10239.73,28
10월,honor,16,오후 (12-18시),41,9486.12,38
10월,honor,17,오후 (12-18시),22,5533.04,18
10월,honor,18,저녁 (18-24시),15,5226.68,13
10월,honor,19,저녁 (18-24시),13,2934.1,8
10월,honor,20,저녁 (18-24시),12,2058.73,6
10월,honor,21,저녁 (18-24시),6,1467.06,6
10월,honor,22,저녁 (18-24시),1,231.64,1
10월,honor,23,저녁 (18-24시),2,514.76,2
10월,htc,0,새벽 (0-6시),1,102.94,1
10월,htc,4,새벽 (0-6시),5,514.7,2
10월,htc,5,새벽 (0-6시),5,514.7,2
10월,htc,6,오전 (6-12시),1,102.94,1
10월,htc,8,오전 (6-12시),3,308.82,3
10월,htc,9,오전 (6-12시),8,823.52,2
10월,htc,10,오전 (6-12시),3,308.82,3
10월,htc,12,오후 (12-18시),1,102.94,1
10월,htc,13,오후 (12-18시),5,514.7,4
10월,htc,14,오후 (12-18시),1,102.94,1
10월,htc,15,오후 (12-18시),1,102.94,1
10월,htc,16,오후 (12-18시),1,102.94,1
10월,htc,18,저녁 (18-24시),1,102.94,1
10월,htc,19,저녁 (18-24시),5,514.7,3
10월,htc,22,저녁 (18-24시),2,205.88,1
10월,huawei,0,새벽 (0-6시),77,19375.02,62
10월,huawei,1,새벽 (0-6시),163,34817.7,140
10월,huawei,2,새벽 (0-6시),404,87315.33,348
10월,huawei,3,새벽 (0-6시),888,183424.54,732
10월,huawei,4,새벽 (0-6시),1195,254855.07,1006
10월,huawei,5,새벽 (0-6시),1335,285396.62,1153
10월,huawei,6,오전 (6-12시),1490,314814.66,1253
10월,huawei,7,오전 (6-12시),1582,340285.99,1345
10월,huawei,8,오전 (6-12시),1649,351081.43,1396
10월,huawei,9,오전 (6-12시),1596,337874.11,1319
10월,huawei,10,오전 (6-12시),1462,308676.24,1220
10월,huawei,11,오전 (6-12시),1424,305972.5,1189
10월,huawei,12,오후 (12-18시),1254,275029.15,1031
10월,huawei,13,오후 (12-18시),1194,254243.57,996
10월,huawei,14,오후 (12-18시),1106,225643.37,940
10월,huawei,15,오후 (12-18시),1173,249659.1,974
10월,huawei,16,오후 (12-18시),1064,241013.7,912
10월,huawei,17,오후 (12-18시),918,207368.19,760
10월,huawei,18,저녁 (18-24시),758,163140.5,613
10월,huawei,19,저녁 (18-24시),464,107597.96,377
10월,huawei,20,저녁 (18-24시),303,71545.53,239
10월,huawei,21,저녁 (18-24시),173,41629.44,144
10월,huawei,22,저녁 (18-24시),131,25609.29,92
10월,huawei,23,저녁 (18-24시),77,16125.5,66
10월,inoi,0,새벽 (0-6시),3,166.42,3
10월,inoi,1,새벽 (0-6시),1,46.05,1
10월,inoi,2,새벽 (0-6시),2,96.72,2
10월,inoi,3,새벽 (0-6시),8,451.69,6
10월,inoi,4,새벽 (0-6시),11,576.55,10
10월,inoi,5,새벽 (0-6시),8,344.84,7
10월,inoi,6,오전 (6-12시),16,743.62,15
10월,inoi,7,오전 (6-12시),18,940.62,16
10월,inoi,8,오전 (6-12시),9,457.99,9
10월,inoi,9,오전 (6-12시),8,420.17,8
10월,inoi,10,오전 (6-12시),8,402.64,8
10월,inoi,11,오전 (6-12시),7,339.26,7
10월,inoi,12,오후 (12-18시),14,705.04,13
10월,inoi,13,오후 (12-18시),8,421.67,7
10월,inoi,14,오후 (12-18시),12,627.84,10
10월,inoi,15,오후 (12-18시),13,659.03,12
10월,inoi,16,오후 (12-18시),10,583.38,9
10월,inoi,17,오후 (12-18시),8,410.92,8
10월,inoi,18,저녁 (18-24시),11,580.61,10
10월,inoi,19,저녁 (18-24시),6,347.88,6
10월,inoi,20,저녁 (18-24시),8,434.8,5
10월,inoi,21,저녁 (18-24시),6,365.96,4
10월,irbis,3,새벽 (0-6시),1,71.65,1
10월,irbis,5,새벽 (0-6시),1,94.66,1
10월,irbis,8,오전 (6-12시),1,65.89,1
10월,irbis,11,오전 (6-12시),2,155.07,2
10월,irbis,14,오후 (12-18시),1,60.14,1
10월,irbis,17,오후 (12-18시),1,57.5,1
10월,jinga,3,새벽 (0-6시),1,54.57,1
10월,jinga,4,새벽 (0-6시),3,223.86,3
10월,jinga,5,새벽 (0-6시),4,275.0,3
10월,jinga,6,오전 (6-12시),3,168.32,3
10월,jinga,7,오전 (6-12시),1,74.62,1
10월,jinga,8,오전 (6-12시),3,200.7,2
10월,jinga,9,오전 (6-12시),1,59.18,1
10월,jinga,10,오전 (6-12시),1,59.18,1
10월,jinga,11,오전 (6-12시),2,133.8,2
10월,jinga,12,오후 (12-18시),1,69.16,1
10월,jinga,13,오후 (12-18시),4,257.69,4
10월,jinga,14,오후 (12-18시),5,322.17,5
10월,jinga,15,오후 (12-18시),1,51.46,1
10월,jinga,16,오후 (12-18시),3,178.08,3
10월,jinga,17,오후 (12-18시),2,113.75,2
10월,jinga,19,저녁 (18-24시),1,69.34,1
10월,jinga,20,저녁 (18-24시),1,52.21,1
10월,jinga,21,저녁 (18-24시),4,257.27,4
10월,jinga,23,저녁 (18-24시),2,113.75,2
10월,lg,1,새벽 (0-6시),1,137.86,1
10월,lg,2,새벽 (0-6시),2,689.8,2
10월,lg,3,새벽 (0-6시),2,561.1,2
10월,lg,4,새벽 (0-6시),4,1641.93,4
10월,lg,5,새벽 (0-6시),5,1584.24,4
10월,lg,6,오전 (6-12시),3,748.31,3
10월,lg,7,오전 (6-12시),9,2846.7,8
10월,lg,8,오전 (6-12시),14,4456.83,14
10월,lg,9,오전 (6-12시),9,2706.44,8
10월,lg,10,오전 (6-12시),9,2382.26,8
10월,lg,11,오전 (6-12시),3,854.87,3
10월,lg,12,오후 (12-18시),7,2414.3,6
10월,lg,13,오후 (12-18시),8,2092.58,7
10월,lg,14,오후 (12-18시),7,2414.3,7
10월,lg,15,오후 (12-18시),5,1595.8,5
10월,lg,16,오후 (12-18시),8,2594.47,7
10월,lg,17,오후 (12-18시),6,1783.01,6
10월,lg,18,저녁 (18-24시),2,549.54,2
10월,lg,19,저녁 (18-24시),3,894.44,3
10월,lg,20,저녁 (18-24시),3,802.75,3
10월,meizu,0,새벽 (0-6시),8,914.31,7
10월,meizu,1,새벽 (0-6시),13,1806.1,12
10월,meizu,2,새벽 (0-6시),36,3747.03,31
10월,meizu,3,새벽 (0-6시),76,8262.1,62
10월,meizu,4,새벽 (0-6시),93,10572.36,86
10월,meizu,5,새벽 (0-6시),92,10980.65,84
10월,meizu,6,오전 (6-12시),105,13004.78,98
10월,meizu,7,오전 (6-12시),115,14488.8,99
10월,meizu,8,오전 (6-12시),126,15993.54,110
10월,meizu,9,오전 (6-12시),132,16805.99,114
10월,meizu,10,오전 (6-12시),97,12144.66,82
10월,meizu,11,오전 (6-12시),112,13337.58,93
10월,meizu,12,오후 (12-18시),85,11242.31,70
10월,meizu,13,오후 (12-18시),85,12127.4,76
10월,meizu,14,오후 (12-18시),97,12661.87,86
10월,meizu,15,오후 (12-18시),105,12662.54,85
10월,meizu,16,오후 (12-18시),84,9958.5,71
10월,meizu,17,오후 (12-18시),76,10955.19,69
10월,meizu,18,저녁 (18-24시),64,8745.17,54
10월,meizu,19,저녁 (18-24시),36,5026.76,31
10월,meizu,20,저녁 (18-24시),14,2596.06,11
10월,meizu,21,저녁 (18-24시),20,2274.06,14
10월,meizu,22,저녁 (18-24시),10,1441.97,9
10월,meizu,23,저녁 (18-24시),5,574.84,5
10월,micromax,10,오전 (6-12시),1,84.85,1
10월,nokia,0,새벽 (0-6시),3,344.59,3
10월,nokia,1,새벽 (0-6시),8,973.99,5
10월,nokia,2,새벽 (0-6시),15,1839.57,15
10월,nokia,3,새벽 (0-6시),23,4200.68,21
10월,nokia,4,새벽 (0-6시),31,4516.64,28
10월,nokia,5,새벽 (0-6시),25,3249.39,23
10월,nokia,6,오전 (6-12시),28,4372.05,27
10월,nokia,7,오전 (6-12시),46,9488.27,44
10월,nokia,8,오전 (6-12시),36,4786.57,34
10월,nokia,9,오전 (6-12시),45,7594.92,40
10월,nokia,10,오전 (6-12시),28,5018.13,27
10월,nokia,11,오전 (6-12시),28,4594.2,26
10월,nokia,12,오후 (12-18시),23,3802.23,21
10월,nokia,13,오후 (12-18시),20,2825.64,17
10월,nokia,14,오후 (12-18시),26,4574.81,24
10월,nokia,15,오후 (12-18시),32,4964.37,32
10월,nokia,16,오후 (12-18시),29,4898.62,25
10월,nokia,17,오후 (12-18시),24,5005.64,19
10월,nokia,18,저녁 (18-24시),24,3366.23,17
10월,nokia,19,저녁 (18-24시),8,1406.19,7
10월,nokia,20,저녁 (18-24시),3,485.04,3
10월,nokia,21,저녁 (18-24시),6,1289.9,5
10월,nokia,22,저녁 (18-24시),1,94.73,1
10월,nubia,5,새벽 (0-6시),1,145.67,1
10월,nubia,7,오전 (6-12시),1,159.57,1
10월,nubia,11,오전 (6-12시),1,145.67,1
10월,nubia,13,오후 (12-18시),1,159.57,1
10월,nubia,19,저녁 (18-24시),1,159.57,1
10월,oneplus,0,새벽 (0-6시),3,2408.41,3
10월,oneplus,2,새벽 (0-6시),10,7660.29,8
10월,oneplus,3,새벽 (0-6시),12,7123.95,10
10월,oneplus,4,새벽 (0-6시),22,14186.46,19
10월,oneplus,5,새벽 (0-6시),25,17771.0,19
10월,oneplus,6,오전 (6-12시),40,27115.2,31
10월,oneplus,7,오전 (6-12시),35,24432.7,28
10월,oneplus,8,오전 (6-12시),34,24379.32,30
10월,oneplus,9,오전 (6-12시),32,21803.31,26
10월,oneplus,10,오전 (6-12시),36,24472.49,24
10월,oneplus,11,오전 (6-12시),32,22075.4,25
10월,oneplus,12,오후 (12-18시),23,15868.38,21
10월,oneplus,13,오후 (12-18시),22,15843.38,21
10월,oneplus,14,오후 (12-18시),34,22907.68,26
10월,oneplus,15,오후 (12-18시),30,21316.89,21
10월,oneplus,16,오후 (12-18시),23,14792.05,15
10월,oneplus,17,오후 (12-18시),29,19525.87,22
10월,oneplus,18,저녁 (18-24시),14,9041.31,14
10월,oneplus,19,저녁 (18-24시),20,13821.58,17
10월,oneplus,20,저녁 (18-24시),10,7860.97,7
10월,oneplus,21,저녁 (18-24시),8,5593.59,7
10월,oneplus,22,저녁 (18-24시),6,4443.8,6
10월,oneplus,23,저녁 (18-24시),9,6632.19,6
10월,oppo,0,새벽 (0-6시),45,10071.81,36
10월,oppo,1,새벽 (0-6시),72,17008.03,55
10월,oppo,2,새벽 (0-6시),198,42088.54,178
10월,oppo,3,새벽 (0-6시),409,90789.98,336
10월,oppo,4,새벽 (0-6시),602,126808.44,482
10월,oppo,5,새벽 (0-6시),746,160422.2,587
10월,oppo,6,오전 (6-12시),816,173849.0,670
10월,oppo,7,오전 (6-12시),803,175922.37,679
10월,oppo,8,오전 (6-12시),849,188387.57,704
10월,oppo,9,오전 (6-12시),819,182338.85,677
10월,oppo,10,오전 (6-12시),805,180896.84,647
10월,oppo,11,오전 (6-12시),653,143505.15,576
10월,oppo,12,오후 (12-18시),618,147285.27,522
10월,oppo,13,오후 (12-18시),578,127330.35,498
10월,oppo,14,오후 (12-18시),584,128778.31,481
10월,oppo,15,오후 (12-18시),530,118181.81,446
10월,oppo,16,오후 (12-18시),520,115109.18,432
10월,oppo,17,오후 (12-18시),443,99791.69,373
10월,oppo,18,저녁 (18-24시),328,75372.61,274
10월,oppo,19,저녁 (18-24시),229,51076.39,183
10월,oppo,20,저녁 (18-24시),120,27634.96,94
10월,oppo,21,저녁 (18-24시),48,11356.0,44
10월,oppo,22,저녁 (18-24시),39,11130.92,32
10월,oppo,23,저녁 (18-24시),33,6897.71,27
10월,philips,4,새벽 (0-6시),1,82.37,1
10월,prestigio,1,새벽 (0-6시),4,189.09,4
10월,prestigio,2,새벽 (0-6시),5,270.64,4
10월,prestigio,3,새벽 (0-6시),10,623.69,7
10월,prestigio,4,새벽 (0-6시),17,950.01,15
10월,prestigio,5,새벽 (0-6시),19,1101.52,16
10월,prestigio,6,오전 (6-12시),24,1226.12,23
10월,prestigio,7,오전 (6-12시),25,1402.35,21
10월,prestigio,8,오전 (6-12시),28,1458.44,22
10월,prestigio,9,오전 (6-12시),14,820.03,11
10월,prestigio,10,오전 (6-12시),23,1229.06,19
10월,prestigio,11,오전 (6-12시),22,1276.03,21
10월,prestigio,12,오후 (12-18시),9,537.41,9
10월,prestigio,13,오후 (12-18시),13,753.66,13
10월,prestigio,14,오후 (12-18시),9,561.25,9
10월,prestigio,15,오후 (12-18시),14,731.86,13
10월,prestigio,16,오후 (12-18시),12,579.83,12
10월,prestigio,17,오후 (12-18시),10,556.78,8
10월,prestigio,18,저녁 (18-24시),10,537.45,8
10월,prestigio,19,저녁 (18-24시),4,179.58,4
10월,prestigio,20,저녁 (18-24시),3,168.0,3
10월,prestigio,21,저녁 (18-24시),4,290.5,3
10월,prestigio,22,저녁 (18-24시),6,313.12,5
10월,prestigio,23,저녁 (18-24시),2,77.18,1
10월,samsung,0,새벽 (0-6시),516,138802.16,398
10월,samsung,1,새벽 (0-6시),973,253061.87,797
10월,samsung,2,새벽 (0-6시),2490,620268.96,1976
10월,samsung,3,새벽 (0-6시),5691,1503973.09,4342
10월,samsung,4,새벽 (0-6시),8140,2095742.08,6159
